20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-112213,INFO,202,22.8,80.8
20200522-112242,INFO,203,22.9,80.4
20200522-112311,INFO,204,22.9,81.1
20200522-112340,INFO,205,22.9,81.5
20200522-112409,INFO,206,23.0,81.3
20200522-112438,INFO,207,23.0,81.5
20200522-112536,INFO,208,23.0,82.1
20200522-112605,INFO,209,23.0,82.2
20200522-112634,INFO,210,23.1,82.5
20200522-112703,INFO,211,23.1,82.0
20200522-112732,INFO,212,23.1,81.2
20200522-112802,INFO,213,23.1,81.5
20200522-112831,INFO,214,23.0,81.3
20200522-112900,INFO,215,23.1,81.7
20200522-112929,INFO,216,23.1,80.7
20200522-112958,INFO,217,23.1,81.0
20200522-113027,INFO,218,23.1,81.6
20200522-113056,INFO,219,23.2,82.0
20200522-113125,INFO,220,23.2,81.8
20200522-113154,INFO,221,23.2,82.3
20200522-113223,INFO,222,23.1,81.3
20200522-113252,INFO,223,23.1,81.5
20200522-113321,INFO,224,23.2,81.6
20200522-113350,INFO,225,23.2,81.4
20200522-113419,INFO,226,23.2,81.5
20200522-113517,INFO,227,23.2,81.9
20200522-113546,INFO,228,23.1,82.0
20200522-113615,INFO,229,23.2,81.8
20200522-113645,INFO,230,23.2,82.8
20200522-113743,INFO,231,23.2,81.4
20200522-113812,INFO,232,23.1,80.7
20200522-113939,INFO,233,23.0,81.2
20200522-114008,INFO,234,23.0,81.4
20200522-114037,INFO,235,23.0,82.1
20200522-114106,INFO,236,23.0,82.4
20200522-114135,INFO,237,23.0,82.5
20200522-114204,INFO,238,23.0,82.4
20200522-114233,INFO,239,23.0,81.8
20200522-114302,INFO,240,23.0,82.2
20200522-114331,INFO,241,23.0,81.8
20200522-114400,INFO,242,23.0,81.9
20200522-114429,INFO,243,23.0,81.3
20200522-114459,INFO,244,23.0,81.8
20200522-114528,INFO,245,23.0,82.1
20200522-114557,INFO,246,23.0,82.3
20200522-114626,INFO,247,23.0,82.3
20200522-114655,INFO,248,23.0,82.4
20200522-114724,INFO,249,23.0,82.7
20200522-114753,INFO,250,23.0,82.9
20200522-114822,INFO,251,23.0,82.5
20200522-114920,INFO,252,22.9,82.1
20200522-114949,INFO,253,22.9,82.9
20200522-115018,INFO,254,23.0,82.7
20200522-115047,INFO,255,23.0,82.6
