2020-04-15 08:03:10 - INFO: ___Sample,___Sample,_CPU_Temp,_____Temp,____Press,____Humid
2020-04-15 08:25:47 - INFO: 135,135,30.4,26.08,992.56,42.3
2020-04-15 08:25:57 - INFO: 136,136,30.4,26.2,992.61,42.66
2020-04-15 08:26:07 - INFO: 137,137,30.4,26.15,992.6,42.4
2020-04-15 08:26:17 - INFO: 138,138,29.32,26.06,992.59,42.56
2020-04-15 08:26:28 - INFO: 139,139,30.4,26.11,992.59,42.81
2020-04-15 08:26:38 - INFO: 140,140,30.4,26.0,992.58,42.88
2020-04-15 08:26:48 - INFO: 141,141,30.4,26.2,992.58,42.8
2020-04-15 08:26:58 - INFO: 142,142,29.86,26.15,992.58,42.4
2020-04-15 08:27:08 - INFO: 143,143,30.4,26.08,992.56,42.62
2020-04-15 08:27:18 - INFO: 144,144,30.94,26.09,992.6,42.37
2020-04-15 08:27:28 - INFO: 145,145,30.4,26.09,992.56,42.47
2020-04-15 08:27:38 - INFO: 146,146,30.4,26.13,992.58,41.96
2020-04-15 08:27:49 - INFO: 147,147,29.86,26.11,992.56,43.97
2020-04-15 08:27:59 - INFO: 148,148,30.4,26.2,992.59,42.17
2020-04-15 08:28:09 - INFO: 149,149,30.4,26.04,992.6,43.22
2020-04-15 08:28:19 - INFO: 150,150,29.86,26.18,992.62,42.69
2020-04-15 08:28:29 - INFO: 151,151,30.4,26.15,992.62,42.7
2020-04-15 08:28:39 - INFO: 152,152,30.4,26.15,992.6,42.81
2020-04-15 08:28:49 - INFO: 153,153,30.4,26.11,992.62,42.4
2020-04-15 08:28:59 - INFO: 154,154,30.4,26.13,992.61,42.39
2020-04-15 08:29:10 - INFO: 155,155,30.4,26.09,992.6,43.07
2020-04-15 08:29:20 - INFO: 156,156,30.4,26.15,992.6,42.85
2020-04-15 08:29:30 - INFO: 157,157,30.4,26.04,992.66,42.82
2020-04-15 08:29:40 - INFO: 158,158,30.94,26.09,992.62,42.78
2020-04-15 08:29:50 - INFO: 159,159,30.4,26.11,992.66,42.54
2020-04-15 08:30:00 - INFO: 160,160,30.4,26.08,992.64,43.02
2020-04-15 08:30:10 - INFO: 161,161,30.4,26.18,992.61,42.26
2020-04-15 08:30:20 - INFO: 162,162,30.4,26.11,992.61,43.05
2020-04-15 08:30:30 - INFO: 163,163,30.4,26.11,992.6,42.85
2020-04-15 08:30:41 - INFO: 164,164,30.4,26.17,992.61,42.43
2020-04-15 08:30:51 - INFO: 165,165,30.4,26.13,992.58,42.55
2020-04-15 08:31:01 - INFO: 166,166,30.4,26.13,992.59,42.31
2020-04-15 08:31:11 - INFO: 167,167,30.4,26.08,992.56,42.4
2020-04-15 08:31:21 - INFO: 168,168,29.86,26.26,992.59,42.51
2020-04-15 08:31:31 - INFO: 169,169,30.4,26.15,992.6,42.73
2020-04-15 08:31:41 - INFO: 170,170,29.86,26.08,992.6,42.31
2020-04-15 08:31:51 - INFO: 171,171,30.4,26.02,992.6,42.49
2020-04-15 08:32:02 - INFO: 172,172,29.86,26.18,992.62,42.42
2020-04-15 08:32:12 - INFO: 173,173,30.4,26.11,992.62,43.24
2020-04-15 08:32:22 - INFO: 174,174,30.4,26.11,992.61,41.97
2020-04-15 08:32:32 - INFO: 175,175,30.4,26.13,992.61,42.16
2020-04-15 08:32:42 - INFO: 176,176,29.32,26.26,992.59,42.09
2020-04-15 08:32:52 - INFO: 177,177,29.86,26.13,992.59,42.83
2020-04-15 08:33:02 - INFO: 178,178,30.4,26.13,992.59,42.39
2020-04-15 08:33:12 - INFO: 179,179,29.86,26.09,992.58,42.85
2020-04-15 08:33:23 - INFO: 180,180,30.4,26.15,992.6,42.52
2020-04-15 08:33:33 - INFO: 181,181,30.4,26.18,992.6,42.71
2020-04-15 08:33:43 - INFO: 182,182,30.4,26.09,992.63,42.78
2020-04-15 08:33:53 - INFO: 183,183,30.4,26.24,992.6,42.73
2020-04-15 08:34:03 - INFO: 184,184,30.4,26.0,992.6,42.95
2020-04-15 08:34:13 - INFO: 185,185,30.4,26.18,992.6,42.48
2020-04-15 08:34:23 - INFO: 186,186,29.86,26.17,992.64,43.57
2020-04-15 08:34:33 - INFO: 187,187,30.4,26.11,992.61,41.56
2020-04-15 08:34:44 - INFO: 188,188,30.4,26.11,992.62,42.36
2020-04-15 08:34:54 - INFO: 189,189,30.4,26.11,992.64,42.57
2020-04-15 08:35:04 - INFO: 190,190,30.4,26.18,992.6,43.01
2020-04-15 08:35:14 - INFO: 191,191,30.4,26.13,992.62,43.07
2020-04-15 08:35:24 - INFO: 192,192,29.86,26.18,992.62,42.31
2020-04-15 08:35:34 - INFO: 193,193,30.4,26.09,992.64,42.82
2020-04-15 08:35:44 - INFO: 194,194,30.4,26.18,992.62,42.55
2020-04-15 08:35:54 - INFO: 195,195,30.4,26.11,992.64,41.97
2020-04-15 08:36:05 - INFO: 196,196,30.4,26.17,992.65,42.54
2020-04-15 08:36:15 - INFO: 197,197,30.94,26.09,992.62,42.47
2020-04-15 08:36:25 - INFO: 198,198,30.4,26.11,992.65,42.51
2020-04-15 08:36:35 - INFO: 199,199,30.4,26.04,992.72,42.69
2020-04-15 08:36:45 - INFO: 200,200,29.86,26.17,992.7,42.96
2020-04-15 08:36:55 - INFO: 201,201,30.4,26.15,992.65,42.29
2020-04-15 08:37:05 - INFO: 202,202,29.32,26.22,992.64,42.23
2020-04-15 08:37:16 - INFO: 203,203,30.4,26.04,992.61,42.77
2020-04-15 08:37:26 - INFO: 204,204,30.4,26.08,992.68,42.72
2020-04-15 08:37:36 - INFO: 205,205,29.32,26.27,992.64,42.45
2020-04-15 08:37:46 - INFO: 206,206,30.4,26.13,992.64,43.06
2020-04-15 08:37:56 - INFO: 207,207,30.4,26.13,992.7,42.97
2020-04-15 08:38:06 - INFO: 208,208,30.94,26.22,992.65,42.92
2020-04-15 08:38:16 - INFO: 209,209,30.4,26.09,992.63,42.36
2020-04-15 08:38:26 - INFO: 210,210,30.4,26.22,992.68,42.9
2020-04-15 08:38:37 - INFO: 211,211,29.86,26.2,992.68,42.48
2020-04-15 08:38:47 - INFO: 212,212,30.4,26.15,992.65,42.7
2020-04-15 08:38:57 - INFO: 213,213,30.4,26.13,992.65,42.45
2020-04-15 08:39:07 - INFO: 214,214,30.4,26.15,992.62,42.53
2020-04-15 08:39:17 - INFO: 215,215,30.4,26.17,992.66,42.92
2020-04-15 08:39:27 - INFO: 216,216,30.4,26.18,992.63,42.94
2020-04-15 08:39:37 - INFO: 217,217,30.4,26.24,992.7,42.69
2020-04-15 08:39:47 - INFO: 218,218,30.4,26.06,992.66,42.17
2020-04-15 08:39:58 - INFO: 219,219,30.4,26.13,992.69,42.39
2020-04-15 08:40:08 - INFO: 220,220,30.4,26.22,992.63,42.75
2020-04-15 08:40:18 - INFO: 221,221,30.4,26.02,992.66,42.47
2020-04-15 08:40:28 - INFO: 222,222,30.4,26.02,992.62,42.38
2020-04-15 08:40:38 - INFO: 223,223,30.4,26.15,992.66,40.89
2020-04-15 08:40:48 - INFO: 224,224,29.86,26.26,992.63,43.24
2020-04-15 08:40:58 - INFO: 225,225,30.4,26.24,992.63,42.82
2020-04-15 08:41:08 - INFO: 226,226,30.4,26.22,992.64,42.67
2020-04-15 08:41:19 - INFO: 227,227,30.4,26.17,992.66,42.78
2020-04-15 08:41:29 - INFO: 228,228,30.4,26.2,992.68,42.47
2020-04-15 08:41:39 - INFO: 229,229,30.4,26.11,992.66,42.81
2020-04-15 08:41:49 - INFO: 230,230,29.86,26.18,992.64,43.23
2020-04-15 08:41:59 - INFO: 231,231,30.4,26.15,992.65,44.0
2020-04-15 08:42:09 - INFO: 232,232,30.4,26.26,992.65,43.07
2020-04-15 08:42:19 - INFO: 233,233,30.4,26.18,992.66,43.32
2020-04-15 08:42:29 - INFO: 234,234,29.86,26.2,992.64,43.76
2020-04-15 08:42:40 - INFO: 235,235,30.4,26.13,992.66,42.53
2020-04-15 08:42:50 - INFO: 236,236,30.4,26.09,992.64,42.63
2020-04-15 08:43:00 - INFO: 237,237,30.4,26.13,992.62,42.6
2020-04-15 08:43:10 - INFO: 238,238,31.48,26.2,992.6,43.11
2020-04-15 08:43:20 - INFO: 239,239,30.94,26.17,992.64,42.45
2020-04-15 08:43:30 - INFO: 240,240,30.4,26.2,992.65,42.7
2020-04-15 08:43:41 - INFO: 241,241,30.4,26.13,992.66,42.7
2020-04-15 08:43:51 - INFO: 242,242,30.4,26.22,992.62,42.37
2020-04-15 08:44:01 - INFO: 243,243,29.86,26.18,992.63,42.75
2020-04-15 08:44:11 - INFO: 244,244,30.4,26.18,992.63,42.71
2020-04-15 08:44:21 - INFO: 245,245,30.4,26.08,992.63,42.81
2020-04-15 08:44:31 - INFO: 246,246,30.4,26.18,992.64,42.25
2020-04-15 08:44:41 - INFO: 247,247,30.4,26.13,992.68,42.67
2020-04-15 08:44:51 - INFO: 248,248,30.4,26.15,992.64,42.51
2020-04-15 08:45:02 - INFO: 249,249,30.4,26.18,992.66,43.08
2020-04-15 08:45:12 - INFO: 250,250,30.94,26.22,992.67,42.74
